#format table ## [Custom WaveView] saved 22:51:17 Mon Mar 11 2024
TIME ,v(a) ,v(b) 
 0.000E+00 , 1.800E+00 , 3.464E-09 
 1.000E-12 , 1.782E+00 ,-1.556E-04 
 2.000E-12 , 1.764E+00 ,-3.091E-04 
 5.200E-12 , 1.706E+00 ,-7.937E-04 
 1.544E-11 , 1.522E+00 ,-2.252E-03 
 4.821E-11 , 9.323E-01 ,-4.343E-03 
 1.000E-10 , 0.000E+00 , 4.385E-02 
 1.037E-10 , 0.000E+00 , 5.109E-02 
 1.062E-10 , 0.000E+00 , 5.601E-02 
 1.143E-10 , 0.000E+00 , 7.178E-02 
 1.400E-10 , 0.000E+00 , 1.222E-01 
 2.177E-10 , 0.000E+00 , 2.741E-01 
 4.454E-10 , 0.000E+00 , 7.085E-01 
 6.380E-10 , 0.000E+00 , 1.047E+00 
 7.477E-10 , 0.000E+00 , 1.219E+00 
 8.456E-10 , 0.000E+00 , 1.349E+00 
 9.757E-10 , 0.000E+00 , 1.485E+00 
 1.086E-09 , 0.000E+00 , 1.570E+00 
 1.191E-09 , 0.000E+00 , 1.630E+00 
 1.272E-09 , 0.000E+00 , 1.665E+00 
 1.336E-09 , 0.000E+00 , 1.688E+00 
 1.405E-09 , 0.000E+00 , 1.709E+00 
 1.489E-09 , 0.000E+00 , 1.731E+00 
 1.559E-09 , 0.000E+00 , 1.745E+00 
 1.636E-09 , 0.000E+00 , 1.758E+00 
 1.727E-09 , 0.000E+00 , 1.769E+00 
 1.812E-09 , 0.000E+00 , 1.777E+00 
 1.907E-09 , 0.000E+00 , 1.783E+00 
 2.031E-09 , 0.000E+00 , 1.789E+00 
 2.100E-09 , 0.000E+00 , 1.791E+00 
 2.103E-09 , 5.625E-02 , 1.792E+00 
 2.106E-09 , 1.120E-01 , 1.793E+00 
 2.116E-09 , 2.904E-01 , 1.796E+00 
 2.148E-09 , 8.612E-01 , 1.796E+00 
 2.177E-09 , 1.390E+00 , 1.760E+00 
 2.200E-09 , 1.800E+00 , 1.689E+00 
 2.203E-09 , 1.800E+00 , 1.677E+00 
 2.205E-09 , 1.800E+00 , 1.669E+00 
 2.211E-09 , 1.800E+00 , 1.645E+00 
 2.230E-09 , 1.800E+00 , 1.565E+00 
 2.291E-09 , 1.800E+00 , 1.309E+00 
 2.347E-09 , 1.800E+00 , 1.077E+00 
 2.405E-09 , 1.800E+00 , 8.379E-01 
 2.465E-09 , 1.800E+00 , 5.997E-01 
 2.534E-09 , 1.800E+00 , 3.650E-01 
 2.592E-09 , 1.800E+00 , 2.184E-01 
 2.648E-09 , 1.800E+00 , 1.259E-01 
 2.722E-09 , 1.800E+00 , 5.729E-02 
 2.786E-09 , 1.800E+00 , 2.960E-02 
 2.849E-09 , 1.800E+00 , 1.603E-02 
 2.916E-09 , 1.800E+00 , 9.498E-03 
 3.003E-09 , 1.800E+00 , 6.046E-03 
 3.088E-09 , 1.800E+00 , 4.801E-03 
