#format table ## [Custom WaveView] saved 22:47:38 Mon Mar 11 2024
TIME ,v(a) ,v(b) 
 0.000E+00 , 1.800E+00 , 3.593E-09 
 1.000E-12 , 1.782E+00 ,-1.759E-04 
 2.000E-12 , 1.764E+00 ,-3.495E-04 
 5.200E-12 , 1.706E+00 ,-8.981E-04 
 1.544E-11 , 1.522E+00 ,-2.556E-03 
 4.821E-11 , 9.323E-01 ,-4.004E-03 
 8.799E-11 , 2.162E-01 , 3.958E-02 
 1.000E-10 , 0.000E+00 , 6.951E-02 
 1.037E-10 , 0.000E+00 , 8.066E-02 
 1.050E-10 , 0.000E+00 , 8.477E-02 
 1.093E-10 , 0.000E+00 , 9.793E-02 
 1.231E-10 , 0.000E+00 , 1.400E-01 
 1.672E-10 , 0.000E+00 , 2.741E-01 
 3.083E-10 , 0.000E+00 , 6.927E-01 
 4.451E-10 , 0.000E+00 , 1.064E+00 
 5.271E-10 , 0.000E+00 , 1.261E+00 
 6.030E-10 , 0.000E+00 , 1.408E+00 
 6.872E-10 , 0.000E+00 , 1.531E+00 
 7.759E-10 , 0.000E+00 , 1.621E+00 
 8.571E-10 , 0.000E+00 , 1.677E+00 
 9.329E-10 , 0.000E+00 , 1.712E+00 
 1.002E-09 , 0.000E+00 , 1.735E+00 
 1.060E-09 , 0.000E+00 , 1.749E+00 
 1.125E-09 , 0.000E+00 , 1.762E+00 
 1.198E-09 , 0.000E+00 , 1.773E+00 
 1.267E-09 , 0.000E+00 , 1.781E+00 
 1.338E-09 , 0.000E+00 , 1.787E+00 
 1.405E-09 , 0.000E+00 , 1.791E+00 
 1.488E-09 , 0.000E+00 , 1.794E+00 
 1.567E-09 , 0.000E+00 , 1.796E+00 
 1.660E-09 , 0.000E+00 , 1.798E+00 
 1.740E-09 , 0.000E+00 , 1.798E+00 
 1.824E-09 , 0.000E+00 , 1.799E+00 
 1.897E-09 , 0.000E+00 , 1.799E+00 
 1.956E-09 , 0.000E+00 , 1.799E+00 
 2.023E-09 , 0.000E+00 , 1.800E+00 
 2.100E-09 , 0.000E+00 , 1.800E+00 
 2.109E-09 , 1.548E-01 , 1.802E+00 
 2.111E-09 , 1.931E-01 , 1.803E+00 
 2.118E-09 , 3.158E-01 , 1.805E+00 
 2.139E-09 , 7.083E-01 , 1.811E+00 
 2.170E-09 , 1.265E+00 , 1.790E+00 
 2.192E-09 , 1.660E+00 , 1.736E+00 
 2.200E-09 , 1.800E+00 , 1.709E+00 
 2.203E-09 , 1.800E+00 , 1.697E+00 
 2.204E-09 , 1.800E+00 , 1.692E+00 
 2.208E-09 , 1.800E+00 , 1.677E+00 
 2.220E-09 , 1.800E+00 , 1.627E+00 
 2.260E-09 , 1.800E+00 , 1.468E+00 
 2.358E-09 , 1.800E+00 , 1.073E+00 
 2.443E-09 , 1.800E+00 , 7.401E-01 
 2.520E-09 , 1.800E+00 , 4.686E-01 
 2.585E-09 , 1.800E+00 , 2.846E-01 
 2.644E-09 , 1.800E+00 , 1.697E-01 
 2.710E-09 , 1.800E+00 , 9.152E-02 
 2.781E-09 , 1.800E+00 , 4.755E-02 
 2.846E-09 , 1.800E+00 , 2.785E-02 
 2.914E-09 , 1.800E+00 , 1.743E-02 
 2.981E-09 , 1.800E+00 , 1.260E-02 
 3.057E-09 , 1.800E+00 , 9.866E-03 
 3.135E-09 , 1.800E+00 , 8.566E-03 
 3.229E-09 , 1.800E+00 , 7.138E-03 
 3.312E-09 , 1.800E+00 , 5.664E-03 
 3.395E-09 , 1.800E+00 , 4.215E-03 
 3.463E-09 , 1.800E+00 , 3.199E-03 
 3.524E-09 , 1.800E+00 , 2.488E-03 
 3.584E-09 , 1.800E+00 , 1.965E-03 
 3.659E-09 , 1.800E+00 , 1.471E-03 
 3.729E-09 , 1.800E+00 , 1.119E-03 
 3.800E-09 , 1.800E+00 , 8.355E-04 
 3.876E-09 , 1.800E+00 , 5.971E-04 
 3.960E-09 , 1.800E+00 , 4.015E-04 
 4.000E-09 , 1.800E+00 , 3.310E-04 
 4.003E-09 , 1.744E+00 ,-2.109E-04 
 4.006E-09 , 1.701E+00 ,-6.187E-04 
 4.013E-09 , 1.563E+00 ,-1.873E-03 
 4.038E-09 , 1.124E+00 ,-5.226E-03 
 4.100E-09 , 0.000E+00 , 8.174E-02 
 4.103E-09 , 0.000E+00 , 9.115E-02 
 4.106E-09 , 0.000E+00 , 1.002E-01 
 4.116E-09 , 0.000E+00 , 1.290E-01 
 4.137E-09 , 0.000E+00 , 1.936E-01 
 4.205E-09 , 0.000E+00 , 3.989E-01 
 4.275E-09 , 0.000E+00 , 6.074E-01 
 4.338E-09 , 0.000E+00 , 7.882E-01 
 4.398E-09 , 0.000E+00 , 9.535E-01 
 4.466E-09 , 0.000E+00 , 1.130E+00 
 4.533E-09 , 0.000E+00 , 1.284E+00 
 4.603E-09 , 0.000E+00 , 1.418E+00 
 4.682E-09 , 0.000E+00 , 1.532E+00 
 4.771E-09 , 0.000E+00 , 1.622E+00 
 4.851E-09 , 0.000E+00 , 1.677E+00 
 4.927E-09 , 0.000E+00 , 1.712E+00 
 4.996E-09 , 0.000E+00 , 1.735E+00 
 5.054E-09 , 0.000E+00 , 1.749E+00 
 5.118E-09 , 0.000E+00 , 1.762E+00 
 5.191E-09 , 0.000E+00 , 1.773E+00 
 5.260E-09 , 0.000E+00 , 1.781E+00 
 5.332E-09 , 0.000E+00 , 1.787E+00 
 5.399E-09 , 0.000E+00 , 1.791E+00 
 5.480E-09 , 0.000E+00 , 1.794E+00 
 5.559E-09 , 0.000E+00 , 1.796E+00 
 5.652E-09 , 0.000E+00 , 1.798E+00 
 5.732E-09 , 0.000E+00 , 1.798E+00 
 5.816E-09 , 0.000E+00 , 1.799E+00 
 5.890E-09 , 0.000E+00 , 1.799E+00 
 5.949E-09 , 0.000E+00 , 1.799E+00 
 6.015E-09 , 0.000E+00 , 1.800E+00 
 6.100E-09 , 0.000E+00 , 1.800E+00 
 6.109E-09 , 1.543E-01 , 1.802E+00 
 6.111E-09 , 1.944E-01 , 1.803E+00 
 6.118E-09 , 3.228E-01 , 1.805E+00 
 6.141E-09 , 7.335E-01 , 1.811E+00 
 6.171E-09 , 1.277E+00 , 1.789E+00 
 6.193E-09 , 1.674E+00 , 1.734E+00 
 6.200E-09 , 1.800E+00 , 1.709E+00 
